 aqi, level, so2, no2, pm10, pm2_5, o3, co
44,1,13,17,44,26,65,0.7
78,2,23,31,81,57,72,0.9
32,1,6,15,31,19,64,0.5
23,1,11,17,17,9,29,0.9
63,2,10,20,70,45,109,0.7
42,1,6,19,42,27,58,0.6
113,3,9,28,50,26,174,0.8
40,1,6,14,33,20,80,0.6
33,1,6,18,32,19,65,0.6
137,3,16,89,112,104,26,1.6
58,2,6,23,37,18,109,0.6
36,1,8,19,36,20,30,0.7
72,2,8,14,80,47,126,0.7
88,2,8,18,110,65,117,0.8
108,3,13,47,112,81,15,1
26,1,10,12,19,12,51,0.6
113,3,70,62,158,85,77,1.5
26,1,13,15,22,15,52,0.7
48,1,10,17,48,28,77,0.7
101,3,9,21,61,32,161,1
49,1,12,13,45,34,62,0.6
122,3,5,22,42,23,184,0.8
48,1,10,20,42,33,66,0.7
35,1,16,17,35,24,54,0.7
119,3,10,57,119,90,16,1
50,1,9,19,50,29,79,0.8
52,2,16,22,53,33,53,0.8
30,1,6,10,22,7,60,0.4
53,2,17,28,56,33,38,1
99,2,28,43,111,74,75,1
34,1,6,12,16,6,67,0.7
39,1,5,12,28,13,77,0.5
31,1,13,19,31,19,40,0.8
41,1,8,25,41,22,53,0.6
26,1,6,13,26,14,37,0.6
100,2,8,42,54,22,159,0.6
37,1,5,15,25,12,73,0.5
148,3,13,67,158,113,28,1.1
32,1,6,15,23,11,63,0.5
35,1,5,11,31,13,70,0.4
45,1,5,22,34,16,90,0.5
37,1,14,24,37,24,33,0.8
66,2,30,35,81,46,48,0.8
77,2,30,21,79,56,80,0.7
38,1,6,18,38,22,64,0.6
41,1,5,15,24,11,81,0.5
110,3,11,49,96,83,96,1.3
140,3,11,30,51,27,204,0.7
31,1,13,19,31,19,40,0.8
70,2,37,41,89,44,89,0.9
43,1,15,23,43,29,52,0.9
25,1,5,14,25,13,30,0.5
51,2,21,18,51,29,64,0.6
32,1,9,24,32,18,10,0.9
34,1,6,10,23,8,67,0.4
55,2,10,29,47,20,105,0.6
88,2,8,18,110,65,117,0.8
44,1,13,17,44,26,65,0.7
59,2,7,15,58,32,110,0.7
30,1,5,20,16,8,60,0.6
85,2,7,30,52,21,142,0.6
130,3,8,24,81,52,192,0.9
54,2,6,20,30,11,104,0.5
72,2,20,28,77,52,81,0.9
103,3,5,12,31,17,163,0.7
44,1,6,11,31,14,88,0.5
49,1,18,24,49,31,42,0.9
120,3,6,18,34,17,181,0.8
59,2,7,14,37,21,110,0.6
24,1,11,19,23,12,37,0.7
32,1,6,15,31,19,64,0.5
52,2,23,22,54,32,86,0.6
80,2,15,33,74,59,30,1
38,1,15,21,38,25,48,0.8
109,3,10,50,111,82,45,0.9
32,1,10,9,31,22,61,0.5
31,1,9,13,28,12,62,0.4
32,1,8,15,32,18,18,0.9
22,1,10,17,21,12,25,0.6
43,1,5,18,38,18,86,0.6
32,1,6,15,23,11,63,0.5
114,3,24,38,177,53,111,0.8
60,2,21,29,70,43,70,0.8
99,2,28,43,111,74,75,1
120,3,14,59,131,91,19,1
70,2,8,18,40,23,124,0.6
36,1,6,12,24,9,71,0.4
130,3,7,29,105,56,193,1.1
47,1,8,14,47,31,86,0.6
59,2,7,15,58,32,110,0.7
33,1,6,22,33,18,62,0.7
88,2,6,24,54,26,145,0.6
133,3,13,45,71,41,196,0.8
25,1,7,20,16,9,26,0.7
30,1,10,21,23,12,59,0.8
114,3,24,38,177,53,111,0.8
33,1,6,22,33,18,62,0.7
35,1,10,15,35,23,46,0.8
63,2,15,22,64,45,66,0.8
65,2,9,29,52,27,118,0.7
39,1,8,21,39,19,58,0.7
49,1,13,17,46,34,60,0.9
139,3,5,15,227,71,112,0.4
53,2,17,17,55,33,60,0.5
49,1,6,19,39,18,98,0.5
121,3,9,24,192,68,122,0.6
53,2,18,22,51,37,61,0.7
122,3,10,48,123,92,22,1.1
31,1,12,20,31,19,26,0.9
48,1,5,21,37,17,96,0.5
58,2,13,29,66,39,101,0.7
90,2,6,20,43,22,147,0.6
59,2,14,23,55,42,47,0.9
108,3,8,38,107,81,42,0.9
134,3,12,54,218,81,48,1
32,1,5,17,29,13,63,0.5
50,1,6,17,38,23,100,0.6
38,1,6,19,38,21,73,0.6
83,2,16,31,83,61,30,0.9
19,1,5,14,17,6,38,0.5
35,1,8,18,35,19,65,0.5
68,2,6,15,38,22,121,0.6
27,1,6,16,17,8,53,0.6
115,3,13,65,163,87,141,1
51,2,8,11,51,16,58,0.6
124,3,10,21,42,25,186,0.6
128,3,14,66,125,97,81,1.2
75,2,16,40,60,26,130,0.6
51,2,5,19,36,16,101,0.5
63,2,9,20,49,29,115,0.6
27,1,5,14,26,10,54,0.4
62,2,7,15,64,33,114,0.6
39,1,6,13,30,14,77,0.5
75,2,8,15,75,46,129,0.7
143,3,10,58,154,109,30,1.4
31,1,6,16,23,12,61,0.5
32,1,8,25,23,13,38,0.6
38,1,5,18,35,17,76,0.6
62,2,16,22,62,44,58,1
25,1,10,20,21,12,25,0.9
87,2,27,40,92,64,72,1
72,2,8,14,80,47,126,0.7
133,3,12,60,149,101,7,1.3
26,1,9,13,24,14,52,0.7
32,1,10,16,32,18,61,0.6
75,2,7,24,46,20,130,0.6
27,1,5,16,19,6,53,0.4
29,1,9,23,27,12,38,0.7
58,2,7,26,65,31,102,0.6
45,1,5,18,19,9,89,0.6
42,1,6,19,42,27,58,0.6
75,2,8,15,75,46,129,0.7
94,2,7,23,53,26,152,0.6
40,1,6,14,33,20,80,0.6
56,2,10,29,54,19,107,0.6
77,2,58,50,104,49,72,1.1
65,2,9,29,52,27,118,0.7
44,1,6,22,44,22,39,0.6
138,3,11,71,160,105,82,1.1
25,1,11,14,14,10,49,0.6
45,1,10,19,43,31,44,0.8
78,2,14,23,68,57,50,0.9
57,2,16,15,52,40,44,0.7
126,3,6,21,51,29,188,0.8
36,1,6,17,26,12,72,0.5
36,1,5,11,31,13,72,0.4
26,1,6,15,25,14,51,0.5
78,2,14,23,68,57,50,0.9
25,1,7,20,16,9,26,0.7
42,1,12,23,42,24,27,0.8
113,3,70,62,158,85,77,1.5
38,1,6,18,38,22,64,0.6
49,1,20,17,49,30,60,0.6
58,2,7,26,65,31,102,0.6
52,2,23,22,54,32,86,0.6
137,3,10,57,141,104,19,1.1
