Time1,Time2,,,,,,,,temp_2m,temp_0,BS,humi,w_speed,w_dir,rain,cloud,high,press,GRTL,QRTL,CBFS,DBFS,sunFS,SO2,NO2,PM10,PM2.5,O3,CO
2020/7/25,2020/7/25 0:00,2020/7/25 0:00,4,11,8,6,22,0.5,30.3199,304.571,0.0170906,58.8056,4.63482,207.252,0,0.0977173,395.412,100.575,24.7565,1.32627,432.925,0,0,2.63153,26.2202,5.68242,3.78577,7.12241,0.132171
2020/7/25,2020/7/25 1:00,2020/7/25 1:00,5,15,5,3,16,0.5,30.0534,304.251,0.0170529,59.6548,3.43828,213.014,0,0.107876,411.756,100.587,18.6877,1.17669,433.034,0,0,3.31772,28.7619,6.27958,4.03373,2.825,0.142786
2020/7/25,2020/7/25 2:00,2020/7/25 2:00,9,24,6,2,7,0.5,29.7796,303.829,0.0176569,62.8256,3.21112,220.031,0,0.0411358,489.319,100.594,15.0867,1.00606,428.977,0,0,3.08986,25.217,6.04709,3.85089,2.04634,0.137913
2020/7/25,2020/7/25 3:00,2020/7/25 3:00,7,20,13,3,8,0.5,29.3158,303.291,0.0191272,70.043,3.86725,222.395,0,0.092427,432.893,100.602,15.8745,0.822065,429.196,0,0,1.78569,17.8308,5.45535,3.35869,3.74952,0.117496
2020/7/25,2020/7/25 4:00,2020/7/25 4:00,5,17,11,3,8,0.5,28.9137,302.841,0.0203531,76.4282,4.35292,228.92,0,0.128056,414.048,100.624,16.3945,0.631609,430.162,0,0,1.48545,16.5528,4.94907,2.90311,3.90779,0.112364
2020/7/25,2020/7/25 5:00,2020/7/25 5:00,4,13,11,3,14,0.5,28.7874,302.557,0.0199105,75.3737,4.39855,227.083,0,0.159443,375.175,100.649,13.0372,0.665213,429.145,0,0,1.87465,19.3504,6.22553,3.59689,2.7536,0.120313
2020/7/25,2020/7/25 6:00,2020/7/25 6:00,4,11,9,0,15,0.5,28.6406,302.289,0.0191315,73.1058,4.09121,229.752,0,0.0960511,327.055,100.673,9.79152,0.71741,427.562,0,0,2.30514,22.4432,8.85594,5.15203,2.041,0.143118
2020/7/25,2020/7/25 8:00,2020/7/25 8:00,5,5,20,0,27,0.5,29.5003,306.034,0.0192317,69.7046,4.36892,238.081,0,0,479.232,100.711,79.5914,16.8142,429.929,229.633,275.933,2.53048,20.2362,7.2414,4.27662,11.1315,0.147981
2020/7/25,2020/7/25 9:00,2020/7/25 9:00,5,7,41,2,43,0.5,29.5003,306.034,0.0192317,69.7046,4.36892,238.081,0,0,479.232,100.711,79.5914,16.8142,429.929,229.633,275.933,2.07621,17.4753,6.20127,3.92916,21.8864,0.138793
2020/7/25,2020/7/25 10:00,2020/7/25 10:00,6,8,40,6,76,0.5,30.7066,309.381,0.0183992,61.915,3.82986,243.895,0,0,667.667,100.726,126.535,26.761,436.756,367.801,441.96,1.59977,15.6438,5.73286,4.01579,46.174,0.129488
2020/7/25,2020/7/25 11:00,2020/7/25 11:00,7,9,41,10,120,0.5,32.0859,314.172,0.0174766,54.0216,3.57177,248.791,0,0,927.444,100.7,211.817,43.3568,439.149,612.987,736.582,1.51685,13.8526,6.63262,4.95788,71.2198,0.12951
2020/7/25,2020/7/25 12:00,2020/7/25 12:00,6,5,37,14,130,0.5,33.3336,318.219,0.0167352,47.9032,2.79746,252.106,0,0,1306.62,100.642,264.7,52.9325,442.704,749.049,900.077,1.61093,12.9434,8.42212,6.44874,87.5724,0.130951
