SO2,NO2,PM10,PM2.5,O3,CO,temp,humi,press,w_speed,w_dir
5,75,61,38,1,1,21.1,89,1013,1.2,346.5
5,64,60,41,25,0.8,20.4,92,1012.4,1.1,18
4,60,36,40,25,0.8,20,93,1011.3,1.1,65.9
4,39,35,33,41,0.7,19.8,93,1010.4,1.5,78.4
4,39,28,39,36,0.8,19.9,92,1010,1.5,73.5
4,42,34,39,32,0.8,20,92,1010,1.9,76.5
5,38,41,40,38,0.7,20.2,89,1010.3,1.3,125.6
6,49,38,48,26,0.7,20.2,90,1011.5,1.2,9.8
5,57,31,42,23,0.8,20,92,1012.7,1.9,356.7
5,58,11,33,20,0.8,19.7,92,1013.1,1.8,20.6
4,50,3,6,31,0.8,20.1,91,1012.7,1.4,78.8
4,53,10,7,37,0.9,20.9,88,1012.4,1.1,238.6
7,58,25,8,48,0.9,21.6,86,1011,1.2,248.6
6,51,22,24,77,0.8,22.8,79,1010.8,1.4,16.8
5,38,18,20,99,0.7,24.3,73,1009.8,1.3,5.1
5,37,19,14,128,0.7,25.6,68,1009.2,1.5,5.9
4,44,31,17,130,0.8,25.6,66,1009.1,1.5,7.3
5,48,47,22,153,0.8,25.1,69,1009.3,1.3,348
5,56,39,35,105,0.8,24.2,72,1009.3,1.5,355
5,62,43,29,78,0.9,23.4,76,1009.6,0.6,341.5
5,67,49,40,55,1,22.8,79,1010.5,0.5,287.4
5,71,51,39,32,1.1,22.4,81,1011.1,0.2,189.7
5,100,61,47,2,1.1,21.9,84,1011.6,0.4,223.8
5,90,62,48,1,1.2,21.6,86,1011.7,0.4,265.2
5,77,50,50,1,1.1,21.2,87,1011.4,0.3,247.1
5,84,54,41,0,1.2,20.9,88,1011,0.3,294.5
5,81,57,46,0,1.2,20.9,89,1010.6,0.2,272.1
6,91,57,40,0,1.3,21,89,1010,0.2,342.3
8,96,63,50,0,1.3,21.1,88,1010,0.4,324.5
7,92,66,53,0,1.4,21,89,1010.2,0.2,123.7
8,89,83,60,0,1.7,21.1,90,1010.7,0.5,50.9
8,88,93,65,1,1.7,21.8,88,1011.4,0.7,30.6
12,90,86,65,6,1.5,22.9,82,1012.2,1.3,49
14,74,71,64,28,1,23.7,75,1012.8,1.5,53.6
11,59,36,46,66,0.9,24.6,70,1012.7,1.3,83.2
11,40,36,33,112,0.8,25.4,67,1012.1,1.4,97.2
10,33,34,27,146,0.8,26,64,1011.3,1.6,54.8
11,31,45,33,209,0.8,26.7,62,1010.3,1.3,93.1
11,33,64,53,232,0.8,27.3,61,1009.4,0.8,221
11,38,63,56,256,0.9,28.3,59,1008.6,0.8,283.5
14,52,97,70,266,1,27.5,62,1008,1.1,232.5
9,60,118,81,245,1,27,65,1008,1.1,254.4
13,54,166,85,173,1,26.4,69,1008.1,1,239.6
10,62,73,72,119,1.1,26.1,71,1008.7,1.4,232
11,52,68,72,91,1,25.7,74,1009.2,1,272.4
10,46,59,54,74,0.8,25,76,1009.6,0.9,34.6
8,37,37,39,68,0.7,24.7,76,1009.8,0.9,339.6
9,56,38,26,38,0.8,24.5,77,1009.8,0.8,52.7
9,56,53,29,30,0.8,23.9,82,1009.5,0.8,63.5
8,45,59,43,31,0.8,23.7,84,1009.1,0.7,113
8,45,46,42,35,0.7,23.6,84,1008.2,1,104.1
7,22,23,39,75,0.6,23.4,82,1007.7,1.2,90.1
7,22,22,24,73,0.6,23.4,82,1007.8,1.4,96.5
6,31,24,26,55,0.6,23.4,82,1007.9,1.3,116.3
7,36,26,30,51,0.7,23.4,82,1008.5,1.5,119.1
7,40,26,37,56,0.7,23.7,81,1008.6,1.8,118.9
6,35,25,32,69,0.7,24.1,79,1008.8,1.8,110.9
7,38,31,26,69,0.7,24.4,79,1009.1,1.8,122.1
6,41,37,27,70,0.7,24.8,78,1009.2,1.5,115.3
6,39,39,24,81,0.7,24.8,78,1008.9,1.9,115
6,32,36,26,94,0.6,25.1,76,1008.1,2.3,121.7
5,22,28,23,101,0.6,25.5,75,1006.9,2.4,100.9
5,21,35,15,98,0.6,25.3,76,1005.9,2.6,98.6
5,26,30,15,84,0.6,25,79,1005.1,1.8,93.2
5,35,39,13,68,0.6,24.6,85,1004.6,1.6,102.3
4,38,36,21,57,0.6,24.3,90,1004.8,1.3,105.6
5,40,26,20,53,0.6,24.3,90,1005.2,1.9,118.9
6,53,24,14,36,0.6,24.3,90,1005.5,1.6,112.3
6,52,29,23,31,0.6,24.4,90,1006.2,2.2,114.4
8,65,28,18,14,0.6,24.4,89,1006.5,2.1,111.2
7,34,13,24,53,0.5,24.2,86,1007,2.3,115.7
5,15,9,11,78,0.5,24,84,1007,2,121.6
5,13,9,11,85,0.5,24.1,82,1006.3,1.9,122.4
5,15,10,9,75,0.5,24,82,1005.8,1.3,95.2
4,16,12,9,69,0.4,23.8,82,1004.8,1.6,112.6
4,19,15,10,59,0.5,23.6,84,1004,0.8,85
7,38,22,9,36,0.5,23.6,86,1004.7,1,47.5
7,57,27,11,10,0.5,23.5,88,1004.9,1,24.5
6,71,30,18,2,0.6,23.4,88,1004.7,1.6,70
4,62,26,17,19,0.6,23.4,84,1004.9,1.8,66.9
6,58,19,14,23,0.7,24.3,83,1005.3,2,96.6
7,59,40,13,6,0.7,25.1,86,1005.7,1.4,78.8
7,59,55,23,2,0.8,25.3,88,1006.1,1.3,61.9
5,63,55,29,18,0.7,23.6,89,1006.5,2.6,59.1
