WD1,WD,BS,SD,FS,FX,YuL,YL,BJGD,press,GR,QR,wmL,wm,WM,SO2,NO2,PM10,PM2.5,O3,CO
29.889,304.016,0.0188705,66.7409,4.16382,162.577,0,0.0382011,769.903,100.665,20.1377,0.94818,428.278,0,0,2.40151,20.9208,8.17336,5.27729,8.78723,0.124491
29.8736,303.739,0.0175562,62.1551,4.65267,171.978,0,0.0588922,682.085,100.671,15.8333,1.14987,427.531,0,0,1.44834,14.8144,6.49054,4.33106,12.7453,0.109056
29.6471,303.419,0.0178738,64.176,4.10031,172.013,0,0.0650386,627.078,100.678,12.3363,1.01616,427.428,0,0,1.27161,13.9154,6.86679,4.40045,12.2296,0.105957
29.4555,303.419,0.0189354,68.7958,2.44317,168.135,0.0472242,1,636.497,100.675,11.1215,1.89003,442.472,0,0,0.467429,11.1535,5.259,3.35261,13.78,0.101764
28.5189,302.987,0.0198813,76.5791,2.57759,207.884,8.26002,0.935074,490.162,100.714,19.8524,6.53753,458.394,0,0,0.574856,13.9989,6.05979,3.59303,9.96333,0.104536
28.3099,302.312,0.0200875,78.4039,1.50808,201.199,2.73946,0.786406,362.702,100.738,9.94128,2.05434,429.248,0,0,1.01848,19.7204,10.8618,6.19591,3.65499,0.12259
28.7843,302.383,0.0190654,72.2798,3.05125,196.949,0,0.378593,378.039,100.772,6.92296,3.8168,429.953,0,0,1.76498,21.7531,13.4304,7.64338,3.38709,0.14437
29.1915,304.598,0.0182142,67.3537,2.55062,208.322,0,0.18994,591.17,100.801,36.2961,13.2017,426.906,140.901,169.311,2.09068,17.9904,12.271,7.1784,9.33926,0.151683
30.0662,308.409,0.0169427,59.3674,2.54354,206.843,0,0.18341,832.749,100.822,96.0534,26.9656,426.406,336.184,403.967,2.8319,15.3822,10.3725,6.25004,15.3661,0.146215
30.0662,308.409,0.0169427,59.3674,2.54354,206.843,0,0.18341,832.749,100.822,96.0534,26.9656,426.406,336.184,403.967,4.07106,15.2313,9.35186,5.97863,24.8758,0.140817
31.2153,312.438,0.0154679,50.5071,2.60394,190.184,0,0.0941508,1008.19,100.838,164.461,39.3814,427.465,519.657,624.434,4.19432,15.5359,8.74157,5.96882,44.4317,0.134563
32.438,316.151,0.0140606,42.5884,2.51137,181.629,0,0.0538522,1303.47,100.818,225.436,51.2019,430.24,672.881,808.552,3.87419,15.3255,9.26369,6.69974,73.8188,0.135756
33.4394,319.068,0.013464,38.3485,2.67241,167.47,0,0.0312602,1426.81,100.783,281.85,60.2734,432.982,787.407,946.169,3.23262,13.1809,8.74399,6.58254,98.1642,0.133963
34.3071,321.194,0.0134111,36.2115,2.88441,156.066,0,0.0243073,1582.49,100.727,325.039,66.0644,435.459,858.979,1032.17,3.52231,14.1279,9.0113,7.19106,112.163,0.141049
35.1774,322.591,0.0134303,34.3704,2.92156,158.181,0,0.0130307,1787.29,100.653,341.959,67.79,434.1,875.991,1052.61,3.03396,19.5257,9.84077,7.76907,104.804,0.150717
35.9684,322.863,0.0145415,35.449,3.36857,175.976,0,0,2060.29,100.588,345.197,65.3523,443.455,825.016,991.361,2.83198,23.3817,8.58074,6.51943,84.9993,0.145888
35.2977,315.553,0.0169377,42.9874,6.39518,132.955,0,1,1594.96,100.556,229.605,30.3172,481.896,232.368,279.22,3.563,18.4342,6.01044,4.56804,78.8638,0.130098
35.743,314.451,0.0165536,40.8821,4.53507,170.269,0,0,1899.93,100.528,140.759,21.9343,484.802,139.321,167.412,4.25521,20.2101,5.63015,4.10742,66.7487,0.133159
35.5665,316.091,0.0171226,42.7468,5.51344,182.653,0,0,1798.98,100.538,217.178,38.2718,453.007,395.335,475.045,4.50282,26.8467,5.75754,3.83567,37.9247,0.137024
34.5585,312.731,0.0179738,47.7215,6.06522,187.258,0,0.219314,1499.17,100.579,152.382,24.3512,452.111,200.851,241.347,4.16682,30.1976,5.98406,3.74356,13.8135,0.137334
33.42,309.25,0.0176953,50.3778,6.01965,191.671,0,0.0622471,1188.45,100.628,77.4689,7.80766,446.168,23.4299,28.154,4.57837,28.2586,6.08211,3.72439,5.47627,0.138052
32.2212,307.298,0.0176164,53.9901,5.82472,193.284,0,0.137627,811.549,100.675,53.327,1.92111,436.141,0,0,4.75995,25.1561,6.11349,3.68543,3.71936,0.132526
31.2484,306.066,0.0180116,58.6106,5.53204,192.61,0,0.141173,652.258,100.702,44.079,1.66129,432.954,0,0,4.75656,22.5828,5.53998,3.34748,4.7134,0.123612
30.5779,305.159,0.0174297,59.1071,4.88413,191.837,0,0.146696,583.546,100.706,34.0902,1.51686,426.418,0,0,4.27933,20.0769,5.10054,3.04691,6.21709,0.114762
30.1088,304.611,0.0182597,63.7387,4.02994,191.465,0,0.147554,584.189,100.707,27.7539,1.21773,427.691,0,0,2.81404,16.6727,5.25358,3.05427,9.12704,0.103952
29.7792,304.156,0.0197757,70.4428,4.08463,193.566,0,0.0739639,621.647,100.699,25.2986,0.939654,429.974,0,0,1.39282,13.3127,5.19428,2.97093,12.5355,0.0946793
29.5638,303.776,0.0200389,72.3392,3.92843,194.218,0,0.0758454,633.657,100.702,21.0613,0.823569,428.794,0,0,1.3324,13.3258,5.32361,3.01757,12.6552,0.0946827
29.3457,303.419,0.020241,74.0595,3.78859,190.753,0,0.109583,578.435,100.699,17.6286,0.720339,427.635,0,0,1.55737,15.8423,5.56089,3.11675,10.2075,0.100182
29.2605,303.153,0.0202321,74.4144,3.98769,191.723,0,0.163882,513.265,100.695,14.5483,0.712138,427.733,0,0,1.76728,20.1899,6.44377,3.53892,6.14554,0.110866
29.2199,302.993,0.0204805,75.5322,3.46743,197.65,0,0.0787658,452.721,100.714,10.8088,0.607962,428.641,0,0,2.58481,25.801,10.6288,5.86072,1.15578,0.142148
28.9652,302.728,0.020647,77.3898,3.14822,203.873,0,0.296545,346.141,100.755,9.83757,0.524991,430.022,0,0,2.34555,23.2593,12.504,7.30676,2.65337,0.154283
28.7664,302.929,0.0201853,76.6351,2.56564,267.476,0,0.94878,339.178,100.802,14.6277,0.846425,458.96,0,0,1.20487,18.9974,7.90203,4.63919,8.18194,0.143
28.7151,304.345,0.019739,75.2035,3.13624,252.939,0.479085,0.890487,394,100.833,45.6278,11.5797,432.3,136.351,163.843,1.81039,16.2169,7.86642,4.74708,15.2856,0.14602
28.8715,306.918,0.0192282,72.5816,3.02504,234.585,1.51729,0.770865,447.944,100.874,97.2206,23.9632,451.353,300.801,361.45,2.07148,15.1318,9.18074,6.0479,28.1637,0.141105
28.8715,306.918,0.0192282,72.5816,3.02504,234.585,1.51729,0.770865,447.944,100.874,97.2206,23.9632,451.353,300.801,361.45,2.20374,15.3766,10.8259,7.65927,48.3236,0.144225
30.4784,311.801,0.0189845,64.8835,2.82749,242.749,0,0.367493,823.36,100.867,172.494,37.5244,433.079,525.548,631.513,2.10701,13.228,11.5251,8.51029,71.9325,0.144156
31.6032,315.568,0.0185222,59.0608,2.8977,231.822,0,0.0282646,952.794,100.844,243.269,46.8086,434.427,683.421,821.216,1.89941,11.9752,11.4169,8.5658,85.4525,0.141439
32.7289,318.685,0.0179882,53.5,2.88701,217.75,0,0.0162469,1280.58,100.774,298.61,56.0321,437.364,800.333,961.702,1.94073,12.5977,11.2835,8.58844,98.6526,0.14039
33.8465,321.138,0.0171324,47.5538,2.86199,211.393,0,0.0198342,1443.94,100.686,335.279,62.4503,440.546,867.912,1042.91,2.00727,13.0674,12.248,9.77815,112.662,0.141716
35.1512,322.377,0.0152626,39.0979,3.40462,215.99,0,0,1584.26,100.596,354.58,66.3396,439.676,874.998,1051.42,1.77356,14.4249,10.1509,8.10013,106.014,0.137814
36.0817,322.737,0.0146878,35.5329,3.58202,227.054,0,0,1795,100.513,344.691,64.3874,446.603,815.185,979.547,2.28124,21.826,8.56287,6.44364,92.4677,0.148111
36.6724,322.058,0.0153476,35.7997,3.67377,234.522,0,0,1879.91,100.441,310.004,57.2485,454.995,695.746,836.027,3.42953,31.2146,9.24508,6.96068,76.3336,0.161244
37.0493,321.294,0.015537,35.4101,2.10839,220.406,0,0,2111.31,100.398,227.595,45.5668,460.11,541.236,650.364,2.89551,28.3028,6.9542,4.58896,33.8619,0.138233
36.0619,316.723,0.0177279,42.8842,4.65715,105.08,0,0.152441,1250.35,100.392,198.731,33.1878,460.461,333.48,400.719,2.95559,26.2449,5.81738,3.6211,17.5776,0.128772
35.5678,312.588,0.0176042,43.8923,5.32307,199.968,0.148308,1,1508.58,100.424,104.461,15.3226,489.974,36.0598,43.3304,3.55754,26.138,6.03647,3.69159,10.0277,0.131455
34.022,309.711,0.015377,42.1451,6.17263,195.945,0,0.406075,914.859,100.5,74.2078,8.54002,452.086,15.7251,18.8957,3.72455,26.9894,6.59777,4.05113,7.85197,0.133033
32.7871,307.934,0.0150839,44.5992,6.04594,193.978,0,0.237834,668.056,100.552,56.7885,2.38868,445.488,0,0,3.03963,27.9263,7.06202,4.57168,7.2666,0.137325
31.8082,306.685,0.0149316,46.8831,5.43787,193.843,0,0.251663,563.495,100.571,44.9461,2.15098,437.459,0,0,2.80304,29.4033,6.8759,4.64309,5.47059,0.146342
31.174,305.821,0.0138703,45.2771,4.97171,199.628,0,0.201548,438.005,100.566,36.0704,2.12122,432.856,0,0,3.56392,31.7197,7.27387,4.78928,2.5411,0.152892
30.6628,305.156,0.0132066,44.4873,4.37463,208.941,0,0.292472,420.655,100.566,29.1855,2.03926,430.411,0,0,3.64719,30.2633,7.3961,4.63517,2.5379,0.143722
30.2418,304.621,0.0132677,45.8687,3.47579,212.645,0,0.262253,422.958,100.569,22.3748,1.79627,426.626,0,0,2.59801,24.425,7.09853,4.19493,5.53879,0.126509
29.8532,304.12,0.0139474,49.3879,3.28277,213.638,0,0.268438,406.02,100.567,19.3536,1.6183,425.367,0,0,1.48183,18.0021,5.40464,3.02618,10.2952,0.108321
29.3586,303.537,0.0159933,58.3932,3.46902,214.362,0,0.0661945,425.716,100.571,18.4644,1.29,423.098,0,0,1.46032,18.223,5.24369,2.98191,11.9859,0.10749
28.9305,303.073,0.018977,71.1436,4.36317,221.407,0,0.0469358,496.218,100.565,21.2416,0.923925,429.035,0,0,1.76409,21.5413,6.03259,3.42722,9.51084,0.114264
28.9655,302.883,0.0170618,63.8373,4.84981,225.988,0,0.246585,418.683,100.584,17.6359,1.29292,430.695,0,0,2.13195,24.791,8.29626,4.73618,5.07953,0.135955
28.7999,302.62,0.0160899,60.8361,4.55079,231.846,0,0.304199,348.588,100.606,14.5372,1.37732,430.005,0,0,2.71688,21.7438,8.58248,5.02098,6.88728,0.152044
28.4599,302.276,0.0170557,65.8775,4.29416,235.96,0,0.128132,316.117,100.628,13.7927,1.14798,429.937,0,0,2.45194,17.0586,7.73245,4.58251,13.7272,0.14503
28.5458,303.445,0.0182595,70.1732,4.52931,232.391,0,0.0789775,343.385,100.657,40.0277,9.41998,426.972,100.485,120.745,1.98858,14.9605,7.68667,4.90473,26.1169,0.134765
29.4645,306.651,0.0183243,66.5337,4.50612,238.042,0,0.0559358,484.926,100.668,98.6647,20.8925,428.522,279.489,335.841,1.86912,15.6521,7.43591,5.12413,43.9459,0.134158
29.4645,306.651,0.0183243,66.5337,4.50612,238.042,0,0.0559358,484.926,100.668,98.6647,20.8925,428.522,279.489,335.841,1.84935,14.6996,7.30235,5.19466,64.9885,0.134443
30.87,311.11,0.0178783,59.5322,4.16576,237.094,0,0.0651633,686.897,100.681,176.113,35.5965,431.182,497.901,598.292,2.03793,12.9754,8.14222,5.90794,83.4893,0.136637
32.2766,315.158,0.017326,52.907,3.65235,240.527,0,0,1023.69,100.651,236.76,46.9849,437.664,654.667,786.665,2.04992,12.589,10.5994,7.88368,95.2433,0.139671
33.3787,318.327,0.0171868,49.0311,2.89304,243.969,0,0,1303.32,100.584,269.735,52.7855,444.691,734.053,882.057,1.56781,12.2256,10.6996,8.24173,87.0441,0.129146
34.3769,319.976,0.0169644,45.5062,3.20358,225.186,0,0.0491951,1510.77,100.506,299.213,56.4033,450.233,761.75,915.339,1.55583,14.0747,9.76685,7.68696,92.0343,0.132312
35.3419,322.098,0.0158995,40.191,3.42917,223.936,0,0.20859,1650.08,100.43,341.122,64.0457,448.546,854.39,1026.66,1.73226,17.4524,10.331,7.80543,87.3232,0.141009
36.1934,322.696,0.0157666,37.8163,3.72098,221.274,0,0.224974,1823.36,100.339,344.965,63.0615,461.05,808.075,971.005,2.05762,21.6354,7.65272,5.1052,56.0385,0.132142
36.7559,322.031,0.0168124,38.9426,3.86493,224.635,0,0.487461,1933.61,100.256,313.195,55.913,462.342,696.377,836.785,2.71924,23.4989,6.65486,4.09799,26.596,0.126251
