SO2,NO2,PM10,PM2.5,O3,CO,temp,humi,press,w_speed,w_dir,aqi
5,75,61,38,1,1,21.1,89,1013,1.2,346.5,65.38427
5,64,60,41,25,0.8,20.4,92,1012.4,1.1,18,61.535904
4,60,36,40,25,0.8,20,93,1011.3,1.1,65.9,59.106926
4,39,35,33,41,0.7,19.8,93,1010.4,1.5,78.4,47.172726
4,39,28,39,36,0.8,19.9,92,1010,1.5,73.5,52.00971
4,42,34,39,32,0.8,20,92,1010,1.9,76.5,52.42932
5,38,41,40,38,0.7,20.2,89,1010.3,1.3,125.6,53.19028
6,49,38,48,26,0.7,20.2,90,1011.5,1.2,9.8,60.715023
5,57,31,42,23,0.8,20,92,1012.7,1.9,356.7,58.91445
5,58,11,33,20,0.8,19.7,92,1013.1,1.8,20.6,53.826435
4,50,3,6,31,0.8,20.1,91,1012.7,1.4,78.8,38.69666
4,53,10,7,37,0.9,20.9,88,1012.4,1.1,238.6,41.92008
7,58,25,8,48,0.9,21.6,86,1011,1.2,248.6,48.153862
6,51,22,24,77,0.8,22.8,79,1010.8,1.4,16.8,47.527126
5,38,18,20,99,0.7,24.3,73,1009.8,1.3,5.1,48.510464
5,37,19,14,128,0.7,25.6,68,1009.2,1.5,5.9,59.219593
4,44,31,17,130,0.8,25.6,66,1009.1,1.5,7.3,61.193996
5,48,47,22,153,0.8,25.1,69,1009.3,1.3,348,71.682915
5,56,39,35,105,0.8,24.2,72,1009.3,1.5,355,55.886574
5,62,43,29,78,0.9,23.4,76,1009.6,0.6,341.5,55.13267
5,67,49,40,55,1,22.8,79,1010.5,0.5,287.4,60.649128
5,71,51,39,32,1.1,22.4,81,1011.1,0.2,189.7,62.324444
5,100,61,47,2,1.1,21.9,84,1011.6,0.4,223.8,78.4615
5,90,62,48,1,1.2,21.6,86,1011.7,0.4,265.2,75.46457
5,77,50,50,1,1.1,21.2,87,1011.4,0.3,247.1,71.66662
8,88,93,65,1,1.7,21.8,88,1011.4,0.7,30.6,84.31635
12,90,86,65,6,1.5,22.9,82,1012.2,1.3,49,84.04552
14,74,71,64,28,1,23.7,75,1012.8,1.5,53.6,77.09822
