SO2,NO2,PM10,PM2.5,O3,CO,temp_2m,temp_0,BS,humi,w_speed,w_dir,rain,cloud,high,press,GRTL,QRTL,CBFS,DBFS,sunFS
1.36847,-15.2202,2.31758,2.21423,14.87759,0.367829,30.3199,304.571,0.0170906,58.8056,4.63482,207.252,0,0.0977173,395.412,100.575,24.7565,1.32627,432.925,0,0
1.68228,-13.7619,-1.27958,-1.03373,13.175,0.357214,30.0534,304.251,0.0170529,59.6548,3.43828,213.014,0,0.107876,411.756,100.587,18.6877,1.17669,433.034,0,0
5.91014,-1.217,-0.04709,-1.85089,4.95366,0.362087,29.7796,303.829,0.0176569,62.8256,3.21112,220.031,0,0.0411358,489.319,100.594,15.0867,1.00606,428.977,0,0
5.21431,2.1692,7.54465,-0.35869,4.25048,0.382504,29.3158,303.291,0.0191272,70.043,3.86725,222.395,0,0.092427,432.893,100.602,15.8745,0.822065,429.196,0,0
3.51455,0.4472,6.05093,0.09689,4.09221,0.387636,28.9137,302.841,0.0203531,76.4282,4.35292,228.92,0,0.128056,414.048,100.624,16.3945,0.631609,430.162,0,0
2.12535,-6.3504,4.77447,-0.59689,11.2464,0.379687,28.7874,302.557,0.0199105,75.3737,4.39855,227.083,0,0.159443,375.175,100.649,13.0372,0.665213,429.145,0,0
1.69486,-11.4432,0.14406,-5.15203,12.959,0.356882,28.6406,302.289,0.0191315,73.1058,4.09121,229.752,0,0.0960511,327.055,100.673,9.79152,0.71741,427.562,0,0
2.46952,-15.2362,12.7586,-4.27662,15.8685,0.352019,29.5003,306.034,0.0192317,69.7046,4.36892,238.081,0,0,479.232,100.711,79.5914,16.8142,429.929,229.633,275.933
2.92379,-10.4753,34.79873,-1.92916,21.1136,0.361207,29.5003,306.034,0.0192317,69.7046,4.36892,238.081,0,0,479.232,100.711,79.5914,16.8142,429.929,229.633,275.933
4.40023,-7.6438,34.26714,1.98421,29.826,0.370512,30.7066,309.381,0.0183992,61.915,3.82986,243.895,0,0,667.667,100.726,126.535,26.761,436.756,367.801,441.96
5.48315,-4.8526,34.36738,5.04212,48.7802,0.37049,32.0859,314.172,0.0174766,54.0216,3.57177,248.791,0,0,927.444,100.7,211.817,43.3568,439.149,612.987,736.582
4.38907,-7.9434,28.57788,7.55126,42.4276,0.369049,33.3336,318.219,0.0167352,47.9032,2.79746,252.106,0,0,1306.62,100.642,264.7,52.9325,442.704,749.049,900.077
4.3759,-10.0918,31.04952,7.15646,40.1762,0.36996,34.352,320.853,0.0166493,44.7577,2.21408,245.463,0,0,1623.52,100.568,289.048,57.1083,449.165,803.045,964.96
3.15034,-11.0729,19.00354,7.13898,41.3753,0.261858,35.4044,322.566,0.0155061,39.0735,2.64748,223.305,0,0,1700.59,100.491,322.448,61.8399,448.459,842.19,1012
2.92739,-8.4703,31.31932,10.35866,59.462,0.354197,36.3096,320.86,0.0144403,34.4215,3.36751,224.784,0,0.022933,1807.24,100.418,274.612,51.5267,455.861,628.592,755.333
3.98079,-5.9389,46.42461,11.36076,49.366,0.355793,36.8596,321.786,0.0147876,34.0754,3.60114,235.562,0,0,1842.76,100.357,292.954,56.4321,449.959,709.639,852.721
2.511,-6.9118,48.00262,12.34701,22.418,0.344206,37.2768,320.675,0.0148825,33.4284,3.43554,228.921,0,0,1868.35,100.32,243.553,46.9177,453.835,554.019,665.725
0.86628,-6.5823,36.30333,6.10025,41.0133,0.362171,37.4714,318.145,0.0146358,32.4911,3.42761,229.767,0,0.0555314,1905.7,100.321,169.442,33.8682,456.621,344.51,413.972
2.27941,-9.0419,27.46767,6.36058,48.1312,0.370095,36.8716,314.412,0.0161083,37.0888,5.02793,204.315,0,0.157206,1679.21,100.349,114.813,21.3192,463.133,146.652,176.221
3.37125,-12.2327,13.15285,5.22501,36.99526,0.466753,34.2086,309.892,0.0191351,51.8033,7.19941,195.749,0,0.0967288,517.32,100.409,83.2182,5.94796,455.374,15.1432,18.1965
3.314,-11.3927,9.36444,0.67948,26.1354,0.562387,32.9824,308.088,0.0196962,57.4984,6.76637,199.41,0,0.0566227,569.626,100.473,60.6637,1.60805,453.446,0,0
3.2455,-7.9154,-0.13746,2.93845,19.27172,0.460188,32.1181,306.978,0.019801,60.9598,6.19575,200.256,0,0.0415138,500.136,100.503,49.2473,1.4313,451.168,0,0
3.3599,-4.351,8.93116,1.56884,15.56114,0.461966,31.4975,306.212,0.0196674,62.8992,5.40888,201.966,0,0.125348,520.857,100.507,40.3661,1.28923,448.333,0,0
2.04551,-18.5999,9.2911,-0.40273,17.96438,0.354948,31.3351,305.815,0.0173919,56.1652,3.78235,211.549,0,0.481542,493.114,100.483,25.8345,1.41739,448.3,0,0
0.72948,-16.7448,6.07291,-0.62404,16.36571,0.364652,31.0501,305.387,0.0174409,57.3141,3.5873,220.222,0,0.529936,535.338,100.477,21.9984,1.33989,445.97,0,0
4.66523,-6.0451,2.53356,1.80696,13.16998,0.380743,30.7022,304.933,0.0174042,58.4316,3.83148,220.379,0,0.583268,503.288,100.478,20.8918,1.33919,446.5,0,0
5.04588,-7.3546,7.74402,-0.05486,16.59554,0.385067,30.2692,304.394,0.0184038,63.4551,4.20386,215.89,0,0.57952,490.713,100.474,20.1321,1.17873,443.114,0,0
4.12558,-8.8402,12.55172,-0.2057,18.44588,0.385378,29.9621,304.018,0.0192371,67.6015,4.40486,215.835,0,0.576383,488.755,100.481,19.3609,1.05841,444.481,0,0
6.13404,-8.149,9.31844,2.12205,19.08343,0.37934,29.6628,303.649,0.0200188,71.6715,4.45695,216.185,0,0.627141,491.964,100.495,17.9868,0.910163,444.169,0,0
2.99009,-10.5388,5.41201,-1.52367,18.1278,0.361931,29.4022,303.309,0.0207218,75.4179,4.27936,219.281,0,0.711724,524.098,100.526,15.678,0.740142,442.049,0,0
2.15078,-7.7573,-4.3719,-1.97194,14.03324,0.343729,29.5978,304.775,0.0208467,74.9808,4.66346,225.227,0,0.745788,579.868,100.552,47.759,9.70852,441.688,116.462,139.944
2.0911,-7.8687,17.37173,0.30681,16.4107,0.350563,30.4897,308.011,0.0188961,64.3324,5.05475,225.598,0,0.504345,593.978,100.562,115.883,24.2681,434.306,321.272,386.05
2.55251,-8.2377,34.081,-1.6065,20.8355,0.363769,30.4897,308.011,0.0188961,64.3324,5.05475,225.598,0,0.504345,593.978,100.562,115.883,24.2681,434.306,321.272,386.05
