SO2,NO2,PM10,PM2.5,O3,CO,temp_2m,temp_0,BS,humi,w_speed,w_dir,rain,cloud,high,press,GRTL,QRTL,CBFS,DBFS,sunFS
8.9601122,7.73258,9.76186,2.86223,10.1404,0.3236152,29.1143,302.859,0.019923,73.8026,4.759,144.959,0,0.0516516,648.268,100.511,13.326,0.608108,430.665,0,0
7.9638089,6.76629,3.43164,1.59541,8.3299,0.3241425,28.989,302.627,0.0200024,74.6732,4.07305,146.963,0,1,545.552,100.509,9.53918,0.52389,430.209,0,0
7.9497448,8.15309,5.93355,2.32103,6.5007,0.323824,28.8671,302.767,0.0198865,74.8061,3.70429,160.35,0,0.855433,172.002,100.513,13.8309,0.687334,451.661,0,0
8.9380985,7.9282,6.33978,2.01755,4.6123,0.3230981,28.2083,301.977,0.0203681,79.8176,2.50681,166.46,0.724568,0.862198,87.1468,100.514,8.37547,1.81134,429.647,0,0
8.875567,7.2234,4.76424,1.1111,2.5619,0.3217397,27.6341,301.421,0.0204589,83.1133,1.8165,149.578,3.71218,0.872415,54.2559,100.541,7.43824,0.786867,425.87,0,0
7.792934,1.3175,-7.759,-1.63111,8.7742,0.3165607,27.7211,301.217,0.0203825,82.3733,1.6847,158.036,0,0.531341,36.9188,100.562,4.03778,0.439338,423.791,0,0
7.760982,0.6175,-2.102,-2.1285,7.1974,0.3095298,27.3115,300.81,0.0199517,82.7519,1.38416,209.337,0.166838,0.712937,27.0889,100.602,4.084,0.431455,422.965,1.62109,1.94794
8.884861,15.1074,21.31853,4.56345,-14.2183,0.4154429,28.0094,303.602,0.0196882,78.2109,1.56105,176.785,1.16545,0.741449,219.418,100.635,30.8608,9.41031,426.874,136.999,164.622
7.9080623,14.84527,12.32843,3.76353,-11.8877,0.418143,28.984,307.414,0.0194105,72.596,1.3373,181.781,4.61824,0.772891,515.685,100.655,77.2409,22.0532,435.38,315.782,379.452
7.9082869,8.41177,16.21927,3.2966,-1.9948,0.4191187,28.984,307.414,0.0194105,72.596,1.3373,181.781,4.61824,0.772891,515.685,100.655,77.2409,22.0532,435.38,315.782,379.452
8.9061949,7.89808,23.26572,4.20156,8.4546,0.3190551,29.1973,309.333,0.0197487,72.9013,3.88581,197.074,2.9067,0.843458,714.13,100.669,167.671,33.4903,438.735,442.745,532.014
7.9128538,8.0001,24.6721,5.50079,31.3385,0.4207763,30.2339,314.722,0.0190179,65.8508,0.72987,145.078,1.05472,0.613395,870.839,100.672,196.939,46.9379,435.377,675.707,811.947
8.9478988,6.62577,22.21389,5.22535,38.7457,0.4220107,30.161,314.934,0.0187908,65.343,2.5849,172.223,2.73294,0.933398,663.643,100.651,253.457,48.9068,457.047,646.308,776.62
7.9462989,3.45306,19.99978,5.08953,41.2651,0.3215387,31.6534,317.999,0.0185682,58.8736,3.79968,156.401,3.83E-05,0.354219,1037.01,100.597,344.663,61.0562,439.304,862.604,1036.53
8.943304,3.26687,13.96558,5.09701,44.8912,0.3216853,32.0675,319.283,0.0184253,56.9227,3.80115,143.939,0,0.197126,1029.12,100.54,370.741,60.7278,438.014,870.243,1045.71
8.9269399,4.80792,24.18638,6.26777,40.9876,0.3212605,32.2333,318.867,0.0191311,58.4782,4.48774,142.144,0,0.149919,1059.48,100.494,381.641,57.2039,439.872,813.296,977.278
7.874058,5.00467,32.93379,6.10329,28.0103,0.3195037,32.1808,317.653,0.0195998,60.0846,4.65263,135.688,0,0.0110223,1006.62,100.464,350.621,49.5503,441.976,695.457,835.68
7.851804,3.55719,27.40895,3.86695,32.8881,0.3190185,32.4814,315.935,0.0197973,59.5666,4.74065,146.826,0,0.0122775,1000.61,100.436,288.992,40.1827,442.924,539.457,648.226
7.833054,5.87047,31.84596,2.63847,47.3829,0.3185024,32.162,313.295,0.0189592,58.1818,5.21578,184.602,0,0.0171526,806.668,100.454,229.272,30.4702,437.399,373.533,448.848
7.810555,1.54686,18.06703,2.21121,52.5121,0.3173684,31.3134,309.902,0.0185835,60.0993,5.10109,181.821,0,0.0221303,624.831,100.493,148.188,17.5175,430.664,181.684,218.317
7.782223,-0.13116,9.55992,2.9024,39.3645,0.3163604,30.069,306.198,0.0187958,65.6473,4.84085,173.317,0,0.0283008,391.477,100.526,74.2561,3.10391,422.93,11.9539,14.3641
7.743069,-0.9696,3.47314,1.90701,33.1951,0.3152426,29.222,304.58,0.0197698,72.7839,4.5094,166.803,0,0.0325361,321.176,100.558,51.1399,0.742091,419.196,0,0
8.702228,2.3967,4.00579,2.24525,29.1693,0.314827,28.901,303.875,0.0201516,75.6884,3.87041,166.049,0,0.053587,305.656,100.569,37.2728,0.563752,420.214,0,0
7.709523,-3.1288,-1.40416,1.64676,31.6757,0.3163076,28.6819,303.465,0.0201086,76.5503,2.87166,160.353,0,0.0471113,206.05,100.557,26.889,0.456526,421.337,0,0
8.455805,-14.3985,-0.58332,-0.55562,41.12743,0.3032113,28.3048,302.296,0.0193045,75.2143,0.853364,180.008,0,0.0308851,148.985,100.536,9.78693,0.220029,417.064,0,0
7.515528,-10.9054,-2.33247,0.04263,34.40932,0.3045471,28.0361,301.909,0.0190562,75.4999,0.984376,204.98,0,0.0514607,99.3457,100.539,8.43154,0.225071,417.266,0,0
7.699183,12.0186,10.61841,1.67902,4.2832,0.3157821,28.052,301.742,0.0191973,75.9812,0.989485,207.653,0,0.588394,68.7777,100.536,6.29182,0.194228,419.787,0,0
7.814698,9.09884,10.99123,1.4512,7.3006,0.3198417,28.0316,301.604,0.0195471,77.4598,1.00216,227.834,0,0.506266,37.2288,100.531,4.925,0.128427,420.703,0,0
7.888911,16.2649,9.44296,1.28964,-3.4964,0.4226453,28.2464,301.682,0.0195936,76.6259,1.73729,243.776,0,0.0689953,198.629,100.546,3.333,0.159678,420.099,0,0
7.796599,16.3539,8.58964,0.80416,-2.45774,0.4202981,27.9388,301.324,0.0196262,78.2568,1.90563,299.904,0,0.040733,231.573,100.572,2.75128,0.111962,417.003,0,0
7.837827,20.70796,11.90309,1.46498,-9.2205,0.5211961,27.4992,300.883,0.0193119,79.1674,1.98005,292.062,0,0.0171124,168.439,100.604,2.73378,0.158303,415.769,1.02121,1.22711
7.681731,17.4115,13.56629,2.30122,-8.0513,0.5115084,28.6225,303.823,0.0187272,71.6074,2.13681,286.5,0,0,271.699,100.628,29.141,9.12217,419.702,144.555,173.701
8.432432,11.9895,20.63239,0.14059,0.8264,0.495012,29.6539,308.101,0.0186329,66.848,2.25237,289.565,0,0,697.402,100.641,92.6862,21.777,423.4,345.187,414.786
8.350491,4.7388,26.33857,-0.59793,13.8295,0.389849,29.6539,308.101,0.0186329,66.848,2.25237,289.565,0,0,697.402,100.641,92.6862,21.777,423.4,345.187,414.786
9.329245,-4.0665,19.63938,-3.31822,18.1372,0.385536,30.862,312.473,0.0185568,61.8062,2.08436,282.673,0,0,947.987,100.656,160.182,33.8825,429.804,528.529,635.095
7.544699,-4.8022,13.43316,-1.71627,15.3398,0.396478,32.0915,316.295,0.017689,54.6181,2.20232,267.987,0,0,1210.06,100.628,227.593,45.6389,435.088,685.62,823.859
7.830197,10.64599,18.26656,2.68881,17.2993,0.4160006,32.9555,319.312,0.0178264,52.1789,2.22977,247.001,0,0,1377.94,100.571,285.283,53.7913,442.111,799.097,960.216
7.870772,4.86476,27.71705,2.14128,58.5634,0.4192104,33.3147,320.49,0.0183123,52.4044,3.5557,137.601,0,0.34,1418.49,100.508,359.856,59.0019,446.334,858.859,1032.03
7.779729,1.53245,21.77849,1.2052,58.4876,0.4150713,33.333,320.058,0.0186786,53.359,4.14298,125.438,0,0.726741,997.121,100.447,367.842,58.9286,445.796,855.546,1028.05
7.771353,1.90935,35.79335,2.11751,72.8664,0.4157949,33.8359,319.615,0.0190055,52.6226,4.47245,115.336,0,1,1092.3,100.39,351.472,53.1379,475.161,720.646,865.947
7.807712,4.8288,22.40911,3.86371,92.2088,0.4184754,34.4897,318.512,0.0169217,45.0039,5.11522,193.123,0,0,1113.72,100.343,317.96,51.9826,450.459,674.141,810.066
8.788892,6.6647,31.99519,4.72786,95.5278,0.4178086,33.9024,316.676,0.0169114,46.6105,5.29265,192.622,0,0.13147,665.549,100.34,282.025,42.9393,444.452,534.485,642.251
8.748303,0.80996,22.98354,3.21401,100.6437,0.4155109,33.1489,313.699,0.0155972,45.0173,5.42264,185.089,0,0.0988985,485.363,100.358,214.215,32.3031,437.682,353.91,425.268
8.719029,2.8512,13.15157,4.66924,90.3047,0.4141203,32.1397,310.161,0.0161055,49.4568,5.13602,178.322,0,0.244639,402.573,100.386,131.093,17.7761,434.909,151.351,181.867
8.678387,7.2088,18.9168,6.4747,63.8791,0.4135481,30.6104,306.687,0.0183189,61.8095,5.04667,177.174,0,0.144872,243.372,100.414,74.7111,3.15038,433.571,10.2484,12.3148
8.637056,18.603,21.11062,8.54348,42.00278,0.413606,30.1615,305.575,0.0185893,64.5048,4.14773,189.162,0,0.0958304,197.989,100.449,49.1894,0.980183,433.867,0,0
10.637135,27.54465,35.6643,8.44607,22.3539,0.4166341,29.6513,304.632,0.0192069,68.7932,4.48345,192.003,0,0.108118,165.298,100.466,41.4241,0.834448,431.233,0,0
10.704566,27.11436,32.39317,7.97868,12.588,0.4193377,29.4269,304.117,0.0204756,74.351,3.97169,211.719,0,0.165967,161.389,100.453,31.4833,0.56945,429.965,0,0
9.796038,19.82049,16.87451,4.54296,15.7216,0.4213078,29.0118,302.776,0.0182335,67.8958,0.868409,336.127,0,0,181.69,100.4,7.12251,0.421459,424.561,0,0
9.883743,25.64948,8.61895,5.15293,4.0566,0.424517,28.8597,302.462,0.0180133,67.7103,1.00391,326.692,0,0.0250043,212.31,100.399,5.25072,0.385164,423.033,0,0
8.9141429,21.85686,10.37895,7.65557,4.3977,0.4258136,28.7154,302.234,0.0181235,68.7421,1.53883,295.846,0,0.0134294,36.1766,100.406,4.28304,0.402151,422,0,0
8.9094688,20.52056,9.92728,6.96966,4.5192,0.4249004,28.5364,301.991,0.0184243,70.6636,1.68271,274.045,0,0.0131614,22.4634,100.405,3.54891,0.360555,422.879,0,0
8.9134713,28.20528,11.34066,6.70495,-6.6306,0.4253984,28.3858,301.78,0.0192311,74.4716,1.87553,248.725,0,0,445.039,100.432,2.84379,0.263934,423.09,0,0
8.9054641,22.45186,7.48729,5.39142,-2.815,0.4245891,28.1589,301.523,0.0201074,78.9891,1.56853,250.284,0,0,489.963,100.454,2.50025,0.0967103,424.321,0,0
8.772526,21.1713,3.35505,2.7473,-3.7926,0.4166325,27.8983,301.241,0.0205504,82.0724,1.00071,235.22,0,0,473.53,100.482,2.25225,-0.208896,425.114,0.340382,0.409012
9.326565,10.098,19.52246,5.14898,5.62537,0.491889,29.3475,304.015,0.020141,73.5331,3.6758,252.98,0,0.18971,484.453,100.501,29.3393,9.09986,428.97,132.13,158.771
