temp_2m,temp_0,BS,humi,w_speed,w_dir,rain,cloud,high,press,GRTL,QRTL,CBFS,DBFS,sunFS,SO2,NO2,PM10,PM2.5,O3,CO
28.5312,302.609,0.0201014,77.2135,2.75267,169.549,0,0.786019,124.078,100.521,13.9523,0.3455,427.62,0,0,0.164903,5.58702,12.6404,5.45079,28.0338,0.0795182
28.3903,302.184,0.020023,77.5756,2.67352,162.283,0,0.528925,81.1448,100.506,9.14611,0.306452,425.813,0,0,0.141785,6.50487,12.6656,5.51622,25.6864,0.0803546
27.8752,301.602,0.0197883,79.137,2.54873,178.09,0,0.44106,51.809,100.476,7.81386,0.250613,422.467,0,0,0.184229,9.30369,11.4006,5.16961,22.7517,0.0844727
27.5799,301.206,0.0199012,81.0852,2.71625,170.937,0,0.356945,37.865,100.498,6.69182,0.200927,421.219,0,0,0.184165,9.26699,10.7583,4.71525,22.3386,0.0835538
27.5357,300.952,0.0198487,81.0702,2.31988,187.291,0,0.246818,23.5657,100.469,3.11452,0.141514,419.86,0,0,0.171453,8.28271,12.9891,5.67986,24.0631,0.0837005
27.2206,300.643,0.0200061,83.3788,2.56001,177.841,0,0.452793,25.5912,100.52,3.47197,0.119709,420.715,0,0,0.235734,12.2519,12.4272,5.72491,20.1048,0.0881798
27.4025,300.708,0.0200483,82.6291,2.37452,180.553,0,0.601641,142.849,100.54,1.81368,0.380566,420.766,7.93323,9.53278,0.189563,8.17504,12.3011,5.64676,25.9291,0.0855039
28.2166,303.351,0.0200373,78.5275,1.6365,169.172,0,0.0188154,463.26,100.572,24.4289,6.91066,422.408,130.19,156.439,0.124765,4.31082,8.97106,4.24522,32.0188,0.0823124
29.3148,306.804,0.0195689,71.6549,2.14334,151.507,0,0.34,766.723,100.589,71.4194,16.4399,429.259,273.007,328.052,0.115517,4.63037,7.36999,3.67695,35.1213,0.0819902
29.3148,306.804,0.0195689,71.6549,2.14334,151.507,0,0.34,766.723,100.589,71.4194,16.4399,429.259,273.007,328.052,0.117622,5.55891,6.33996,3.41322,39.3987,0.0823149
30.0186,308.571,0.0193273,67.7683,1.73672,126.517,0.0122447,0.777495,830.762,100.603,86.3132,18.9331,462.345,278.454,334.598,0.083185,3.95146,5.72278,3.36761,43.4953,0.0815484
30.8748,314.424,0.0192874,64.1428,1.85966,139.704,0.111885,0.0147064,1012.38,100.587,200.239,40.8774,436.062,645.468,775.612,0.067055,2.43857,5.86559,3.42837,43.5255,0.0801126
31.3619,316.975,0.0193735,62.5116,2.25459,133.086,1.20751,0.291017,1152.24,100.56,266.259,51.8078,438.109,755.177,907.441,0.0568117,1.53773,5.64732,3.04087,37.8727,0.0793407
31.6873,317.439,0.0194783,61.5715,4.72312,157.544,0.607781,0.0302385,1003.18,100.504,362.557,55.5376,443.03,814.023,978.152,0.0562362,1.83284,6.47005,3.37991,34.6513,0.0794094
31.7466,318.527,0.0197257,62.0978,4.15301,148.78,0.0108757,0.11901,998.761,100.459,371.964,54.2286,443.209,835.509,1003.97,0.0597967,2.31994,6.19566,3.34528,32.987,0.07936
31.8908,317.047,0.0199406,62.1887,4.85794,133.418,0.0492748,0.0503287,861.209,100.409,347.509,44.68,445.543,670.331,805.488,0.0601251,2.22759,5.30852,3.02845,31.809,0.0789608
32.136,316.629,0.0195887,60.148,5.1982,134.122,0,0.0571711,858.68,100.356,337.984,44.3774,443.041,652.845,784.475,0.0687454,2.41427,5.12992,3.11174,31.2416,0.0790923
32.0581,314.797,0.0192509,59.3993,5.55993,135.055,0,0.0593052,856.786,100.366,291.846,36.8643,441.392,516.052,620.102,0.10994,3.58985,4.87183,3.11842,29.4076,0.0805238
